"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"VerifiableCredentialBundle","VerifiableCredentialBundle","","","",0,*,"","","","null {[]} {[]}
","Logical Model for Verifiable Credentials - FHIR Bundle","Logical Model for Verifiable Credentials - FHIR Bundle","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VerifiableCredentialBundle.context","VerifiableCredentialBundle.context","","","",1,*,"","","","uri {[]} {[]}
","Context","Sets the context of the verifiable credential","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.context",1,*,"",""
"VerifiableCredentialBundle.id","VerifiableCredentialBundle.id","","","",1,1,"","","","url {[]} {[]}
","Identifier","The value of the id property MUST be a single URI. It is RECOMMENDED that the URI in the id be one which, if dereferenced, results in a document containing machine-readable information about the id.","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.id",1,1,"",""
"VerifiableCredentialBundle.type","VerifiableCredentialBundle.type","","","",1,*,"","","","uri {[]} {[]}
","Type","The value of the type property","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.type",1,*,"",""
"VerifiableCredentialBundle.credentialStatus","VerifiableCredentialBundle.credentialStatus","","","",0,*,"","","","http://litlfred.github.io/ig-vcs/StructureDefinition/VerifiableCredentialStatus {[]} {[]}
","Verifiable Credential Status","Verifiable Credential Status","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.credentialStatus",0,*,"",""
"VerifiableCredentialBundle.expirationDate","VerifiableCredentialBundle.expirationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date","The date and time the credential ceases to be valid.","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.expirationDate",0,1,"",""
"VerifiableCredentialBundle.evidence","VerifiableCredentialBundle.evidence","","","",0,*,"","","","http://litlfred.github.io/ig-vcs/StructureDefinition/VerifiableCredentialEvidence {[]} {[]}
","Evidence","Verifiable Credential Evidence","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.evidence",0,*,"",""
"VerifiableCredentialBundle.holder","VerifiableCredentialBundle.holder","","","",0,1,"","","","uri {[]} {[]}
","Holder","The holder of the credential","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.holder",0,1,"",""
"VerifiableCredentialBundle.issued","VerifiableCredentialBundle.issued","","","",0,1,"","","","dateTime {[]} {[]}
","Issued","Issued","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.issued",0,1,"",""
"VerifiableCredentialBundle.issuer","VerifiableCredentialBundle.issuer","","","",1,1,"","","","url {[]} {[]}
","Issue","The entity that issued the credential","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.issuer",1,1,"",""
"VerifiableCredentialBundle.issuanceDate","VerifiableCredentialBundle.issuanceDate","","","",0,1,"","","","dateTime {[]} {[]}
","Issuance Date","The date and time the credential becomes valid, which could be a date and time in the future. Note that this value represents the earliest point in time at which the information associated with the credentialSubject property becomes valid.","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.issuanceDate",0,1,"",""
"VerifiableCredentialBundle.proof","VerifiableCredentialBundle.proof","","","",1,*,"","","","http://litlfred.github.io/ig-vcs/StructureDefinition/VerifiableCredentialProof {[]} {[]}
","Proof","One or more cryptographic proofs that can be used to detect tampering and verify the authorship","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.proof",1,*,"",""
"VerifiableCredentialBundle.refreshService","VerifiableCredentialBundle.refreshService","","","",0,*,"","","","http://litlfred.github.io/ig-vcs/StructureDefinition/VerifiableCredentialRefreshService {[]} {[]}
","Refresh Service","Refresh Service","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.refreshService",0,*,"",""
"VerifiableCredentialBundle.termsofUse","VerifiableCredentialBundle.termsofUse","","","",0,1,"","","","http://litlfred.github.io/ig-vcs/StructureDefinition/VerifiableCredentialTermsOfUse {[]} {[]}
","Terms of Use","Terms of Use","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.termsofUse",0,1,"",""
"VerifiableCredentialBundle.validFrom","VerifiableCredentialBundle.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Valid From","Valid From","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.validFrom",0,1,"",""
"VerifiableCredentialBundle.validUntil","VerifiableCredentialBundle.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","Valid Until","Valid Until","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBase.validUntil",0,1,"",""
"VerifiableCredentialBundle.credentialSubject","VerifiableCredentialBundle.credentialSubject","","","",1,*,"","","","http://litlfred.github.io/ig-vcs/StructureDefinition/VerifiableCredentialSubjectBundle {[]} {[]}
","Verifiable Credential Subject","Verifiable Credential Subject","","","","","","","","","",,,,,"",,,,"VerifiableCredentialBundle.credentialSubject",1,*,"",""
